Konsole,Spiel,Datum,Spielzeit,Erstes Mal,Sound,Grafik,Controls,Schwierigkeit,Spaß,Chat,Dennsen,Gesamt,Video Link,Genre
NES,"Jack Nicklaus' Greatest 18 Holes 
of Major Championship Golf",06.07.2026,0h12m,JA,1,4,5,7,2,"2,19","2,56","2,49",https://www.youtube.com/live/00ZfsxVU0xY?si=YFTFO8faB7JxfS2n&t=19115,Sport
NES,Captain Skyhawk,06.07.2026,0h36m,JA,3,6,6,7,6,"5,78","5,33","5,41",https://www.youtube.com/live/00ZfsxVU0xY?si=it_DFfZ_TutawBSp&t=20097,Shooter
NES,New Ghostbusters 2,07.07.2026,0h42m,JA,9,8,8,5,8,"7,90","8,22","8,16",https://youtu.be/d12UFt7uUW0?si=HctBrxhU6nztwtrI&t=197,Action
NES,Super Turrican,19.07.2026,0h23m,JA,8,5,3,7,5,"3,75","5,44","5,14",https://www.youtube.com/live/D3mOQjcuc1A?si=1VWtnblWiUycprR5&t=16983,Action
NES,The Goonies II,20.07.2026,2h43m,NEIN,6,4,3,10,6,"4,56","5,22","5,10",https://www.youtube.com/live/mOEAAc_LRHI?si=LGgVNRv-dLbwtGCx&t=2836,Action
NES,Wrath of the Black Manta,20.07.2026,1h06m,JA,4,7,8,3,6,"4,76","6,00","5,77",https://www.youtube.com/live/mOEAAc_LRHI?si=e1L-pHlpAEIFjNxx&t=19934,Action
NES,"The Simpsons 
Bart vs the World",21.07.2026,0h17m,JA,1,5,2,6,3,"2,19","2,89","2,76",https://www.youtube.com/live/RQU_xkhqGmQ?si=An3UazpCsYdB6g-w&t=2487,Jump & Run
NES,Battle of Olympus,23.07.2026,4h26m,NEIN,8,9,9,8,8,"7,40","8,33","8,16",https://www.youtube.com/live/YM_OrjDGuzo?si=7elXQNxhj-kZKlTI&t=2158,Action
NES,WWF Wrestlemania Challenge,23.07.2026,0h08m,JA,7,5,3,6,4,"3,69","4,78","4,58",https://www.youtube.com/live/YM_OrjDGuzo?si=y2Q8bvqsL_MAwcK6&t=19769,Action
NES,City Connection,23.07.2026,0h10m,JA,2,2,1,8,1,"2,03","1,44","1,55",https://www.youtube.com/live/YM_OrjDGuzo?si=IhEm4wmBNlkBlPZB&t=20506,Action
